City,ASCII_City,Population,Country Code,Country Name,Longitude,Latitude,Radius,public_transport_aggregated,education_facilities_aggregated,healthcare_services_aggregated,green_spaces_aggregated,sports_facilities_aggregated,cultural_facilities_aggregated,job_availability_aggregated,foreigner_integration_aggregated,housing_affordability_aggregated,admin_efficiency_aggregated,transport_affordability_aggregated,transport_accessibility_aggregated,transport_frequency_aggregated,transport_reliability_aggregated,Numbeo_URL,ticket_one_way_eur,gasoline_liter_eur,fitness_club_monthly_eur,rent_1br_city_center_eur,rent_1br_outside_center_eur,rent_3br_city_center_eur,rent_3br_outside_center_eur,net_salary_avg_eur,utilities_basic_eur,mobile_phone_plan_eur,preschool_monthly_eur,price_sqm_city_center_eur,City_original_names,Painting,Drawing,Sculpture,Pottery,Woodworking,Photography,Street Art,Playing Musical Instruments,Singing,Dance,Opera,Theater,Stand-Up Comedy,Concerts,Festivals,Ballet,Running,Cycling,Swimming,Yoga,Skiing,Tennis,Table Tennis,Martial Arts,Football,Handball,Basketball,Rowing,Marathon,Triathlon,Badminton,Volleyball,Ice Skating,Climbing,Archery,Camping,Fishing,Hunting,Mountain Biking,Rock Climbing,Sailing,Ski Touring,Kayaking,Surfing,Computer Programming,Video Games,Robotics,3D Printing,Virtual Reality,Artificial Intelligence,Photography Equipment,Astronomy,Biology,Chemistry,Physics,Psychology,Philosophy,History,Political Science,Engineering,Mathematics,Archaeology,Cooking,Baking,Wine,Beer,Liqouor,BBQ,Steak,Seafood,Vegan and Vegetarian Cooking,Street Food,Cheese,Pizza,Pasta,Sushi,Pastry,Cake,Mountains,Lakes,Seaside,National Parks,Forests,Islands,Beaches,total_fb_users
Aachen,Aachen,265208,DE,Germany,6.083862,50.776351,14.767341483831862,2.568,2.3750000000000004,3.372,3.016,2.711,3.044,2.273,,1.638,,2.4210000000000003,3.134,2.726,2.71,https://www.numbeo.com/cost-of-living/in/Aachen?displayCurrency=EUR,3.0,1.77,29.14,645.0,511.82,1325.0,1090.0,2927.56,326.74,19.99,220.0,5550.0,Aachen,27300.0,17246.0,12472.0,6249.0,16658.0,42179.0,3418.0,11564.0,25276.0,27243.0,19279.0,32864.0,14939,45663.0,36875.0,10041,45861,36010,27115.0,42336,32219,37548,2208.0,12492.0,64148.0,31484.0,28103.0,1352.0,27200.0,14725.0,11948.0,22339.0,11519.0,13186.0,1860.0,44944.0,23887.0,24864.0,30841.0,5000.0,3839.0,1915.0,2627.0,26904,7246.0,63380,7117,4772.0,14422,34179,20227.0,4002,27730.0,8050,28457,32139.0,19841,25983,8927.0,43400,7933,6005,81677.0,49175,28833.0,29303,24581.0,17578,13907,7280.0,35219,11006,13568.0,11169,23418.0,5808.0,17425.0,20899.0,24021.0,15375.0,16062.0,6902.0,18324.0,6132.0,31862.0,120250.0
Aalborg,Aalborg,142937,DK,Denmark,9.9215263,57.0462626,13.963203388029978,2.784,3.0049999999999994,3.0989999999999998,3.2409999999999997,2.879,3.3120000000000003,2.106,2.2,2.578,2.63,2.821,3.3970000000000002,2.996,2.984,https://www.numbeo.com/cost-of-living/in/Aalborg?displayCurrency=EUR,3.28,1.86,33.5,820.12,627.49,1539.23,1052.52,2891.44,268.12,18.34,424.58,3941.53,Aalborg,35633.0,23850.0,20467.0,9309.0,21469.0,49686.0,6736.0,8494.0,27532.0,37514.0,7245.0,41598.0,43285,56744.0,37757.0,8476,51570,66137,27494.0,54772,23134,38762,7211.0,9920.0,43794.0,54769.0,19201.0,1899.0,19937.0,20429.0,18524.0,13408.0,3005.0,6702.0,2878.0,54451.0,32990.0,31898.0,28507.0,4450.0,8996.0,1881.0,8872.0,32176,3705.0,64808,4650,5602.0,7574,22118,11084.0,5878,30937.0,11764,30010,47246.0,17847,44432,5169.0,42551,12369,6140,93863.0,37254,57720.0,30929,28118.0,16350,12069,11950.0,36702,11989,16257.0,12337,5577.0,19926.0,14445.0,23980.0,11212.0,7942.0,7800.0,4398.0,8275.0,4780.0,24244.0,127766.0
Amsterdam,Amsterdam,741636,NL,Netherlands,4.8924534,52.3730796,16.105177938305935,3.073,2.564,3.267,3.201,2.7699999999999996,3.2749999999999995,2.1670000000000003,,1.6099999999999999,,2.5500000000000003,3.342,3.2020000000000004,3.151,https://www.numbeo.com/cost-of-living/in/Amsterdam?displayCurrency=EUR,3.4,2.0,59.09,2036.11,1696.95,3447.14,2555.0,3967.1,256.1,20.36,2204.76,9530.03,Amsterdam,183247.0,113836.0,86402.0,24637.0,69145.0,251810.0,31563.0,45589.0,166175.0,217432.0,45973.0,246526.0,94533,322858.0,254040.0,74307,231179,226581,149299.0,247945,116289,179450,25667.0,62892.0,244590.0,32030.0,136246.0,18202.0,123940.0,85906.0,27308.0,101484.0,32000.0,40585.0,13689.0,246293.0,128221.0,118275.0,131361.0,23467.0,40540.0,6708.0,13323.0,146932,33503.0,260636,14133,21266.0,34969,112379,76681.0,22983,102981.0,24366,138684,189537.0,96559,241483,36698.0,208058,32882,41945,362236.0,159607,177480.0,124214,94849.0,59748,50133,44263.0,197014,68309,66021.0,49071,47481.0,81602.0,67686.0,74527.0,112412.0,85907.0,58774.0,34886.0,53015.0,30107.0,156850.0,463144.0
Ankara,Ankara,3517182,TR,Türkiye,32.8540497,39.9207759,18.130198935155384,2.54,2.509,2.763,2.9519999999999995,2.217,2.423,2.3120000000000003,2.16,1.972,2.45,2.702,3.0469999999999997,2.646,3.0460000000000003,https://www.numbeo.com/cost-of-living/in/Ankara?displayCurrency=EUR,0.53,1.16,35.66,525.55,363.35,863.55,604.56,694.29,61.19,8.1,457.47,1413.53,Ankara,18976.0,11342.0,8356.0,2544.0,10208.0,30291.0,732.0,4951.0,12428.0,20313.0,7787.0,29196.0,5975,39156.0,34915.0,7870,36019,8657,21792.0,34016,15767,25924,1442.0,7314.0,30795.0,4668.0,23163.0,899.0,11710.0,4295.0,5055.0,16830.0,4158.0,5105.0,2379.0,29145.0,18900.0,13065.0,12128.0,1518.0,6332.0,997.0,3533.0,13989,2513.0,40660,4162,1649.0,1788,22768,9771.0,3152,7286.0,3091,13346,20052.0,5294,19212,5187.0,33559,5432,4352,56610.0,27479,18453.0,15943,9630.0,16312,12966,4295.0,12954,4398,12371.0,7961,12589.0,1721.0,19112.0,19785.0,16070.0,9151.0,21239.0,1699.0,10622.0,2897.0,34352.0,1519533.0
Antalya,Antalya,1344000,TR,Türkiye,30.7030242,36.8865728,16.87866083886881,2.413,2.4109999999999996,2.8499999999999996,3.1080000000000005,2.386,2.4450000000000003,2.593,2.9000000000000004,2.162,2.66,2.6729999999999996,3.147,2.8069999999999995,2.9640000000000004,https://www.numbeo.com/cost-of-living/in/Antalya?displayCurrency=EUR,0.53,1.08,33.07,593.05,453.63,962.21,677.71,508.11,56.99,8.39,373.0,1802.45,Antalya,116284.0,74255.0,52159.0,12235.0,60024.0,191324.0,5238.0,21035.0,85893.0,121449.0,50101.0,186444.0,62503,272922.0,225410.0,55143,243481,53547,154217.0,222140,96878,159399,9691.0,50163.0,217672.0,27116.0,158029.0,5428.0,76674.0,38400.0,36564.0,118982.0,25515.0,33237.0,13459.0,211083.0,149711.0,100828.0,86832.0,8920.0,41412.0,4395.0,31325.0,92429,12844.0,301452,23842,12213.0,12426,175132,62667.0,12472,50433.0,19418,96893,135021.0,34435,116700,23990.0,197730,27757,33585,381889.0,180126,129680.0,108146,70084.0,105026,77059,35178.0,92870,28203,79555.0,53643,70716.0,22688.0,108826.0,112845.0,106704.0,59153.0,154759.0,6077.0,61667.0,13572.0,248971.0,663215.0
Antwerpen,Antwerpen,529247,BE,Belgium,4.3997081,51.2211097,15.666229107459948,2.765,3.076,3.41,3.078,2.804,3.2470000000000008,2.394,2.35,1.987,2.76,2.608,3.0389999999999997,2.6900000000000004,2.687,https://www.numbeo.com/cost-of-living/in/Antwerp?displayCurrency=EUR,2.5,1.71,39.5,907.14,750.0,1394.44,1088.89,2400.25,190.26,22.22,560.0,4117.14,Antwerpen,137405.0,83740.0,76325.0,26841.0,67998.0,209316.0,21120.0,54239.0,130575.0,163231.0,36496.0,154453.0,87413,233511.0,191334.0,56329,153488,205954,105387.0,170007,85998,130085,9459.0,35799.0,187162.0,11378.0,90906.0,7048.0,85790.0,55124.0,15143.0,57654.0,11509.0,37190.0,6300.0,197618.0,86728.0,69535.0,126606.0,13033.0,29364.0,6098.0,19014.0,93730,23800.0,213057,16280,19947.0,27092,91375,60876.0,16427,71973.0,28090,107381,122596.0,73220,170394,19776.0,185845,23998,24710,304844.0,120856,145266.0,110420,79309.0,57246,40699,30907.0,144809,57979,70326.0,42533,46800.0,40098.0,56456.0,62014.0,77219.0,61539.0,51748.0,26409.0,40287.0,16731.0,133885.0,393038.0
Athens,Athens,664046,GR,Greece,23.7348324,37.9755648,15.961412378024928,2.783,2.181,2.1,2.0919999999999996,2.1990000000000003,2.5569999999999995,1.66,1.7,2.255,2.1100000000000003,2.5740000000000003,2.9480000000000004,2.614,2.672,https://www.numbeo.com/cost-of-living/in/Athens?displayCurrency=EUR,1.2,1.89,45.19,596.55,525.88,1078.36,919.28,992.06,190.09,23.02,441.33,3080.0,Athens,462984.0,295452.0,266013.0,82310.0,176548.0,687905.0,122619.0,118087.0,490683.0,766322.0,214401.0,741722.0,213699,698269.0,706523.0,412067,760688,293149,500150.0,698373,289035,417639,35191.0,205092.0,529722.0,11734.0,529595.0,17376.0,422080.0,207733.0,5542.0,210104.0,15352.0,162626.0,31409.0,533710.0,351266.0,268995.0,340777.0,100107.0,171491.0,14155.0,46013.0,379048,159146.0,798244,97580,69177.0,57082,426526,183650.0,68360,296825.0,141496,247707,566649.0,277665,457806,95328.0,497761,249751,183612,983239.0,442541,497326.0,322455,368123.0,200609,196583,151618.0,421780,226295,137479.0,198912,157193.0,104756.0,229582.0,194808.0,451457.0,324676.0,387373.0,17566.0,100500.0,213583.0,668903.0,1382407.0
Augsburg,Augsburg,259196,DE,Germany,10.8979522,48.3690341,14.737510570450238,2.999,2.379,3.252,3.1559999999999997,2.7579999999999996,3.1319999999999997,2.309,2.57,1.754,2.3,2.489,3.3629999999999995,3.116,3.117,https://www.numbeo.com/cost-of-living/in/Augsburg?displayCurrency=EUR,3.5,1.74,37.48,800.0,610.0,1450.0,1337.5,3062.5,291.56,35.8,350.0,6000.0,Augsburg,23484.0,16767.0,11973.0,5602.0,15490.0,42781.0,2766.0,12509.0,26130.0,26912.0,19594.0,32165.0,15177,46758.0,38184.0,14086,45256,35183,22959.0,48139,36449,35032,1912.0,10726.0,52505.0,18151.0,28075.0,1430.0,24985.0,15269.0,10062.0,19777.0,11337.0,17420.0,1481.0,40962.0,22672.0,22758.0,34700.0,5332.0,4139.0,3899.0,2899.0,27284,8671.0,56684,8404,4299.0,14721,32361,19593.0,3522,24778.0,7742,26291,30665.0,19384,25594,7474.0,38649,6954,4581,79249.0,43892,30580.0,32475,26047.0,15751,12318,7117.0,34424,12362,16471.0,13165,21275.0,6763.0,8920.0,16592.0,31723.0,17072.0,12176.0,7088.0,17997.0,4734.0,28799.0,111459.0
Barcelona,Barcelona,1620343,ES,Spain,2.1774322,41.3828939,17.121924584292554,2.8050000000000006,2.431,2.7150000000000003,2.6630000000000003,2.501,2.799,1.848,2.47,1.787,2.39,2.8,3.1689999999999996,2.975,3.139,https://www.numbeo.com/cost-of-living/in/Barcelona?displayCurrency=EUR,2.55,1.67,44.03,1274.6,949.26,2114.71,1436.92,2007.42,170.23,17.42,593.38,5717.65,Barcelona,280041.0,238064.0,125199.0,38753.0,142793.0,584243.0,44048.0,124858.0,207235.0,267559.0,88325.0,356093.0,171783,520165.0,488204.0,153231,461614,301117,225093.0,486301,261199,352652,27700.0,99815.0,616953.0,82461.0,301988.0,13811.0,274560.0,143287.0,85323.0,192386.0,62543.0,150003.0,17750.0,381732.0,201405.0,195875.0,247067.0,71449.0,126832.0,12361.0,66288.0,295346,44544.0,594916,45949,49117.0,113622,365370,146573.0,103645,251380.0,62976,262078,447411.0,328154,292126,57759.0,470093,81020,92309,672393.0,317965,366052.0,258139,213278.0,84840,59433,68554.0,299915,112786,123463.0,96115,162340.0,109649.0,168630.0,130366.0,309444.0,91764.0,153040.0,28928.0,112055.0,52700.0,474183.0,1065607.0
Belfast,Belfast,345418,GB,United Kingdom,-5.9301829,54.596391,15.111108746174871,2.86,3.0269999999999997,2.71,3.1359999999999997,2.631,3.0719999999999996,1.968,2.42,2.352,2.71,2.824,3.152,2.9509999999999996,2.9019999999999997,https://www.numbeo.com/cost-of-living/in/Belfast?displayCurrency=EUR,2.75,1.71,39.91,1083.86,839.78,1612.99,1299.35,2668.68,138.28,17.7,1099.22,2599.9,Belfast,168689.0,76434.0,70099.0,44256.0,66778.0,218499.0,12761.0,40658.0,149908.0,132776.0,67000.0,157003.0,112917,218805.0,167223.0,51785,182080,128592,107007.0,154129,91209,117676,12206.0,75988.0,147189.0,32748.0,98190.0,10113.0,120574.0,65757.0,46612.0,67474.0,41754.0,39994.0,14196.0,145402.0,104873.0,87967.0,88592.0,20693.0,18395.0,7683.0,18517.0,105371,13263.0,223911,16718,14504.0,20335,93159,64000.0,22899,91738.0,19021,78537,97196.0,77458,196254,17214.0,119193,39804,25610,264217.0,160316,134505.0,147670,112587.0,50689,66750,23609.0,126770,86497,62856.0,48235,58882.0,14415.0,41612.0,97292.0,64287.0,40092.0,29509.0,13321.0,60992.0,21491.0,113710.0,269716.0
